participantId,group,lecture_type,practice_type,trialId,responseId,question_label,responsePrompt,answer,score,coder_notes,duration,cleanedDuration
5e0b388b15ef4037cebdecc9,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"The slope shows the trend, and the correlation shows the relationship.",NA,NA,147727,147727
5e0b388b15ef4037cebdecc9,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,They move together.,NA,NA,147727,147727
5e0b388b15ef4037cebdecc9,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I don't know.  I am stupid.,NA,NA,147727,147727
5e0b388b15ef4037cebdecc9,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,I don't know.  I never felt so stupid in my life.,NA,NA,147727,147727
64012ee6e3f2e59aaa36f718,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,Correlation shows if the data is positive negative or zero while the slope tells how far apart the scattered dots are,NA,NA,152900,152900
64012ee6e3f2e59aaa36f718,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"They both represent a set of data, they both show how the data is distributed",NA,NA,152900,152900
64012ee6e3f2e59aaa36f718,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I would say the correlation would be negative because the number is decreasing,NA,NA,152900,152900
64012ee6e3f2e59aaa36f718,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,I would say the slope would trend downwards again because the number decreased,NA,NA,152900,152900
6448503fab8d495eb76b51b0,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"the correlation can negative and positive, the slope is always a positive number",NA,NA,151509,151509
6448503fab8d495eb76b51b0,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"it there IS a correlation, there will be a slope, the higher the correlation, the closer the slope",NA,NA,151509,151509
6448503fab8d495eb76b51b0,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",it wouold change to a negative correlation,NA,NA,151509,151509
6448503fab8d495eb76b51b0,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,nothing would just invert,NA,NA,151509,151509
65ccca52871269168cc029b5,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,Slope is the decline or incline of the line on the graph and correlation is how far the points are from the line,NA,NA,134056,134056
65ccca52871269168cc029b5,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,They're not the same... I don't know how to answer this question,NA,NA,134056,134056
65ccca52871269168cc029b5,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",The correlation would remain the same but maybe be negative,NA,NA,134056,134056
65ccca52871269168cc029b5,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,The slope would remain the same but I actually don't know.,NA,NA,134056,134056
663eb286696a0a72e8f06e0f,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,I don't understand the question,NA,NA,201985,201985
663eb286696a0a72e8f06e0f,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,the would both have to be 1,NA,NA,201985,201985
663eb286696a0a72e8f06e0f,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",the correlation would stay the same,NA,NA,201985,201985
663eb286696a0a72e8f06e0f,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,the slop does change,NA,NA,201985,201985
6985cae61f4f48abdf956530,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,They are completely different.  One value (slope) tells us the change in values within an entire data set or from one specific vale top another.  Correlation tells us how adjacent a value on one axis is to a value on the other axis.,NA,NA,503174,503174
6985cae61f4f48abdf956530,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,I honestly dont see how they are related at all.  They tell us two entirely different things about the same set of data.,NA,NA,503174,503174
6985cae61f4f48abdf956530,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I truly dont know.  Intutively it seems it would stay roughly the same.  If I saw a graph I might could tell you.,NA,NA,503174,503174
6985cae61f4f48abdf956530,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,"Exact same answer.  I am just not sure without seeing the actual graph.  The numbers part of this is the most confusing piece.  Which, since this is statistics, that is a problem.",NA,NA,503174,503174
698b661701f0981576ed9dec,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,I don't know how to answer this question,NA,NA,199794,199794
698b661701f0981576ed9dec,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,I don't know how to answer this question.,NA,NA,199794,199794
698b661701f0981576ed9dec,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",the correlation would stay the same and the slope would change.,NA,NA,199794,199794
698b661701f0981576ed9dec,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,it would change,NA,NA,199794,199794
69991d70dd2583a349d03468,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,they measure 2 different things,NA,NA,93273,93273
69991d70dd2583a349d03468,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"both are measurements, both are in relation to graphs",NA,NA,93273,93273
69991d70dd2583a349d03468,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",correlation would increase I think,NA,NA,93273,93273
69991d70dd2583a349d03468,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,slope would stay the same I think,NA,NA,93273,93273
699a436ee9032e2b2333d3c1,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"correlation measure direction and strength while slope measure rate of change, correlation values is between -1 and 1 while slope is not, correlation is unitless while slope has units.",NA,NA,294689,294689
699a436ee9032e2b2333d3c1,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"Both describe a relationship, Both use the same data, if slope is 0 correlation is also 0, the sign of the slope and correlation is always the same.",NA,NA,294689,294689
699a436ee9032e2b2333d3c1,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",Correlation would stay the same,NA,NA,294689,294689
699a436ee9032e2b2333d3c1,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,The slope would become steeper it would be greater than .25 no sign change.,NA,NA,294689,294689
69b5d74131631c0333607bec,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"Slope and correlation are different because slope has units (unit of y / unit of x) while correlation is unitless, slope has infinite range while correlation ranges from -1 to 1, and correlation doesn't change when you swap x and y while slope does.",NA,NA,362922,362922
69b5d74131631c0333607bec,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"Slope and correlation are the same because both describe the relationship between variables, involve direction, and are related to change in y over change in x.",NA,NA,362922,362922
69b5d74131631c0333607bec,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",Correlation would stay the same since the variables themselves aren't changing.,NA,NA,362922,362922
69b5d74131631c0333607bec,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,"Since the slope is 0 < (m = 0.25) < 1, switching X and Y would cause the slope to positively increase.",NA,NA,362922,362922
69bad0d8d699e854ef8e8184,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"correlation can be stronger or weaker, while slope can only be bigger or smaller",NA,NA,280528,280528
69bad0d8d699e854ef8e8184,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,both tell us about the relationship between two things. both can be positive or negative. both us the line of best fit as an averaging point,NA,NA,280528,280528
69bad0d8d699e854ef8e8184,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",it would stay the same,NA,NA,280528,280528
69bad0d8d699e854ef8e8184,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,it would change,NA,NA,280528,280528
69c440c36f9c43fe1266a56b,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,correlation can be with slope but slope cannot be correlation,NA,NA,80559,80559
69c440c36f9c43fe1266a56b,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,correlation to me is that it hugs the line which is slope but slope cannot be correlation but it can bump up to it or be surrounded,NA,NA,80559,80559
69c440c36f9c43fe1266a56b,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",the correlation would stay the same,NA,NA,80559,80559
69c440c36f9c43fe1266a56b,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,the slope would decrease,NA,NA,80559,80559
69c59eeb6b373bc928a1aba9,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"- slope is measuring the rate of change and correlation is measuring the relationship 
",NA,NA,282124,282124
69c59eeb6b373bc928a1aba9,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"- can be measured on a graph
- are used to collect data efficiently 
- can be negative or positive 
- both can equal zero",NA,NA,282124,282124
69c59eeb6b373bc928a1aba9,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",it would be negative,NA,NA,282124,282124
69c59eeb6b373bc928a1aba9,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,it would be negative .25??,NA,NA,282124,282124
69d5bc72bf90388665397b6e,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"correlation is how two variables relate to each other, and then the slope just gives an average of all your data points",NA,NA,158458,158458
69d5bc72bf90388665397b6e,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,they both have to do with how two variables relate to each other. they are also quantified using a similar number system. they are both shown on a graph/scatterplot,NA,NA,158458,158458
69d5bc72bf90388665397b6e,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",the correlation would remain the same,NA,NA,158458,158458
69d5bc72bf90388665397b6e,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,it would change signs,NA,NA,158458,158458
69e293f57120947b9a8408de,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"correlation is unitless slope has units
correlation measure strength of relationship, slope measures rate of change",NA,NA,285347,285347
69e293f57120947b9a8408de,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"both describe linear equation
both have same sign",NA,NA,285347,285347
69e293f57120947b9a8408de,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",correlation does not change when X and Y are switched,NA,NA,285347,285347
69e293f57120947b9a8408de,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,New slope is equal to zero,NA,NA,285347,285347
69e7ac40430645b3492b7f1b,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,slope is a visual and correlation is the data,NA,NA,98076,98076
69e7ac40430645b3492b7f1b,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,slope is typically used in relation to correlation as slopes help represent or interpret the relation of data or physical things. correlation is typically used in conversation or data sheets to also determine the relation of things.,NA,NA,98076,98076
69e7ac40430645b3492b7f1b,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",the correlation would be weaker because .25 is less than .5.,NA,NA,98076,98076
69e7ac40430645b3492b7f1b,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,the slope would increase,NA,NA,98076,98076
69e96cde65aa9df15260c718,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"correalation is group, slope is direction.",NA,NA,96506,96506
69e96cde65aa9df15260c718,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,no idea,NA,NA,96506,96506
69e96cde65aa9df15260c718,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",it would be slightly more apart but value would stay the same,NA,NA,96506,96506
69e96cde65aa9df15260c718,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,it would stay at the same alignment but be rising at a lower rate.,NA,NA,96506,96506
69e9f6a993985bfec2114d70,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,they dont have the same rate.,NA,NA,94542,94542
69e9f6a993985bfec2114d70,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,they follow each other and changes if one changes.,NA,NA,94542,94542
69e9f6a993985bfec2114d70,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I dont have a clue,NA,NA,94542,94542
69e9f6a993985bfec2114d70,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,my best guess would be it would be positive,NA,NA,94542,94542
69eae5f4f5ce43d5a34d388f,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,correlation can be absolutely anywhere on the map,NA,NA,102993,102993
69eae5f4f5ce43d5a34d388f,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"the slope goes in the same direction as correlation, usually",NA,NA,102993,102993
69eae5f4f5ce43d5a34d388f,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",it would stay about the same?,NA,NA,102993,102993
69eae5f4f5ce43d5a34d388f,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,it would stay the same also?,NA,NA,102993,102993
69ecc0e01df33a8b5fa811f2,CC,Control,Control,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,im honestly not sure.,NA,NA,47577,47577
69ecc0e01df33a8b5fa811f2,CC,Control,Control,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,i honestly have no clue.,NA,NA,47577,47577
69ecc0e01df33a8b5fa811f2,CC,Control,Control,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",i think it would go up,NA,NA,47577,47577
69ecc0e01df33a8b5fa811f2,CC,Control,Control,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,go down.,NA,NA,47577,47577
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,slope is more associated with the y axis,NA,NA,63550,63550
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,I have no idea.,NA,NA,63550,63550
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I think the slope would change but I have no idea.,NA,NA,63550,63550
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,I think it would decrease?,NA,NA,63550,63550
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,I cannot think of any. This is really confusing to me and it would be helpful to be able to reference the bullet points from the lesson.,NA,NA,177895,177895
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,Correlation means plots are closer together and slope can be more evenly distributed,NA,NA,177895,177895
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",Correlation would go down,NA,NA,177895,177895
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,Slope would be about the same,NA,NA,177895,177895
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"When flipping the x and y, correlation stays the same, but slope changes.",NA,NA,65435,65435
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,They do both tie in to change and relations.,NA,NA,65435,65435
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",It would stay the same,NA,NA,65435,65435
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,It would change,NA,NA,65435,65435
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"Sometimes if the dots are spread out, the slope could be going, for example, negatively, but the correlation could mean something different.",NA,NA,104126,104126
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,I think that when the slope is changed for example to a positive direction than the correlation will be positive.,NA,NA,104126,104126
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",I think it could change it to a negative slope.,NA,NA,104126,104126
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,It would turn to a negative slope,NA,NA,104126,104126
676276312d87ec9601be7d5c,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"scale and units, range, symmetry, what they measure",NA,NA,1034889,1034889
676276312d87ec9601be7d5c,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"Direction, linearity, standardization, predictive links",NA,NA,1034889,1034889
676276312d87ec9601be7d5c,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",The correlation would stay exactly the same 0.5,NA,NA,1034889,1034889
676276312d87ec9601be7d5c,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,if you switch x and y the slope isd going to change it will be the reciprocal of the original slope from.25 to 4.o,NA,NA,1034889,1034889
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,"correlation is bounded between -1 and 1.
correlation is dimensionless slope has units",NA,NA,118776,118776
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,"both indicate the direction of the relationship
both are 0 if no linear relationship",NA,NA,118776,118776
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",the correclation remains exactly the same 0.5 as it measures the strenghth of the relationship,NA,NA,118776,118776
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,connection-making,switch-question-response-b,Switch X/Y: slope,b. What would happen to the slope?,the slope would change. it becomes the reciprocal of the original,NA,NA,118776,118776
67eec9e200be02ad51843d9b,CP,Control,PlotWise,connection-making,q-different,How slope and correlation are different,Please list as many ways slope and correlation are different as you can think of.,negative or positive?,NA,NA,103585,103585
67eec9e200be02ad51843d9b,CP,Control,PlotWise,connection-making,q-same,How slope and correlation are the same,Please list as many ways slope and correlation are the same as you can think of.,the points create the slope and spread out they create the correlation?,NA,NA,103585,103585
67eec9e200be02ad51843d9b,CP,Control,PlotWise,connection-making,switch-question-response-a,Switch X/Y: correlation,"Let’s say a researcher has a correlation of .5 and a slope of .25. If they switched X and Y.

a. What would happen to the correlation?",it would be negative?,NA,NA,103585,103585
