participantId,group,lecture_type,practice_type,trialId,responseId,answer,answer_clean,correct_side,is_correct,abs_r_left,abs_r_right,duration,cleanedDuration,parameters_leftLabel,parameters_rightLabel
5e0b388b15ef4037cebdecc9,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,5292,5292,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
5e0b388b15ef4037cebdecc9,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,4017,4017,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
64012ee6e3f2e59aaa36f718,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,12722,12722,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
64012ee6e3f2e59aaa36f718,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,8036,8036,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
6448503fab8d495eb76b51b0,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,5729,5729,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
6448503fab8d495eb76b51b0,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,16110,16110,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
65ccca52871269168cc029b5,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,7265,7265,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
65ccca52871269168cc029b5,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,13645,13645,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
663eb286696a0a72e8f06e0f,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,7943,7943,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
663eb286696a0a72e8f06e0f,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,6335,6335,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
6985cae61f4f48abdf956530,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,35818,35818,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
6985cae61f4f48abdf956530,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,12701,12701,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
698b661701f0981576ed9dec,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,17204,17204,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
698b661701f0981576ed9dec,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,7408,7408,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69991d70dd2583a349d03468,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,5363,5363,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69991d70dd2583a349d03468,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,2985,2985,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
699a436ee9032e2b2333d3c1,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,3211,3211,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
699a436ee9032e2b2333d3c1,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,3904,3904,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69b5d74131631c0333607bec,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,5212,5212,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69b5d74131631c0333607bec,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,5255,5255,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69bad0d8d699e854ef8e8184,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,6611,6611,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69bad0d8d699e854ef8e8184,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,5852,5852,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69c440c36f9c43fe1266a56b,CC,Control,Control,choose-strongest-r-1,graph_choice,right,right,left,FALSE,0.7,0.32,5897,5897,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69c440c36f9c43fe1266a56b,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,3188,3188,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69c59eeb6b373bc928a1aba9,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,4699,4699,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69c59eeb6b373bc928a1aba9,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,3648,3648,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69d5bc72bf90388665397b6e,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,3757,3757,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69d5bc72bf90388665397b6e,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,2710,2710,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69e293f57120947b9a8408de,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,31609,31609,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69e293f57120947b9a8408de,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,31485,31485,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69e7ac40430645b3492b7f1b,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,8526,8526,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69e7ac40430645b3492b7f1b,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,5303,5303,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69e96cde65aa9df15260c718,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,4549,4549,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69e96cde65aa9df15260c718,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,2768,2768,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69e9f6a993985bfec2114d70,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,6926,6926,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69e9f6a993985bfec2114d70,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,4302,4302,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69eae5f4f5ce43d5a34d388f,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,4692,4692,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69eae5f4f5ce43d5a34d388f,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,2988,2988,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69ecc0e01df33a8b5fa811f2,CC,Control,Control,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,12341,12341,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69ecc0e01df33a8b5fa811f2,CC,Control,Control,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,7560,7560,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,6103,6103,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
5d88db42c1d06e001a1fdcab,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,3606,3606,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,6719,6719,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
66b68e2b2c21a7ed557cf866,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,6464,6464,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,7215,7215,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
66ba9cd5343e159bdc8691ad,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,5955,5955,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,right,right,left,FALSE,0.7,0.32,5619,5619,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
66c4f3cb14cbfc4db836bd4e,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,right,right,right,TRUE,0.1,0.32,4264,4264,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
676276312d87ec9601be7d5c,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,6711,6711,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
676276312d87ec9601be7d5c,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,3146,3146,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,9778,9778,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
67a8ef6331f586a361a8ec33,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,14480,14480,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
67eec9e200be02ad51843d9b,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,4153,4153,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
67eec9e200be02ad51843d9b,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,2695,2695,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,7935,7935,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
6949ca3d2fa32d8101dea6a7,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,7204,7204,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
695bbdf21fd961458dd7390f,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,23984,23984,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
695bbdf21fd961458dd7390f,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,5307,5307,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,24227,24227,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
698cb3f09ab87f038b6e3e77,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,right,right,right,TRUE,0.1,0.32,5672,5672,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,7916,7916,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
698ce998c9bcb9df4a355d8e,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,right,right,right,TRUE,0.1,0.32,4212,4212,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,4556,4556,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69936eccf50fa8ffd94e8b4e,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,6599,6599,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,3635,3635,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69b05804c1d36d9f04ffefe7,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,2657,2657,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69b64051157b8364c2a0afa6,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,3935,3935,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69b64051157b8364c2a0afa6,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,2246,2246,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69baaee936d901eb8e30d457,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,3130,3130,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69baaee936d901eb8e30d457,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,2481,2481,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,9245,9245,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69dbb8b904dd49c3acdc5571,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,5018,5018,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69defab23a249a0b519c8f6d,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,7015,7015,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69defab23a249a0b519c8f6d,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,3202,3202,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,30683,30683,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69e67f20876c8dcd0f10256d,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,12475,12475,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69e696140295abac7fb9c28b,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,8046,8046,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
69e696140295abac7fb9c28b,CP,Control,PlotWise,choose-strongest-r-2,graph_choice,left,left,right,FALSE,0.1,0.32,5054,5054,"Correlation = 0.10, slope = 0.03","Correlation = 0.32, slope = 0.31"
69ee7fcbc2188c5c2203fd8c,CP,Control,PlotWise,choose-strongest-r-1,graph_choice,left,left,left,TRUE,0.7,0.32,5795,5795,"Correlation = −0.70, slope = 1.10","Correlation = 0.32, slope = 0.34"
